"The recipe","Source file count","Source file changed count","Cumulative scanning time","99th percentile scanning time","Max scanning time","Cumulative edit time","99th percentile edit time","Max edit time"
"The recipe whose stats are being measured both individually and cumulatively.","The number of source files the recipe ran over.","The number of source files which were changed in the recipe run. Includes files created, deleted, and edited.","The total time spent across the scanning phase of this recipe.","99 out of 100 scans completed in this amount of time.","The max time scanning any one source file.","The total time spent across the editing phase of this recipe.","99 out of 100 edits completed in this amount of time.","The max time editing any one source file."
"org.openrewrite.java.spring.batch.MigrateJobBuilderFactory","23","19","0","0.0","0","22251","0.99","3292"
"org.openrewrite.java.migrate.net.MigrateMulticastSocketGetTTLToGetTimeToLive","23","19","0","0.0","0","1042","0.99","292"
"org.openrewrite.java.migrate.jakarta.JavaxMigrationToJakarta","23","19","0","0.0","0","1084","0.99","208"
"org.openrewrite.java.testing.junit5.MigrateAssumptions","23","19","0","0.0","0","1124","0.99","250"
"org.openrewrite.java.migrate.javax.HttpSessionInvalidate","23","19","0","0.0","0","816542","0.99","343250"
"org.openrewrite.java.testing.mockito.RetainStrictnessWarn","46","19","3678164","0.99","1732958","342791","0.99","81500"
"org.openrewrite.java.RemoveAnnotation","46","19","0","0.0","0","3135292","0.99","757542"
"org.openrewrite.java.migrate.sql.MigrateDriverManagerSetLogStream","23","19","0","0.0","0","9293","0.99","1917"
"org.openrewrite.reactive.reactor.ReactorProcessorCreateToSinkRecipes$UnicastProcessorCreateQueueToSinkRecipe","23","19","0","0.0","0","256001","0.99","51375"
"org.openrewrite.java.spring.boot2.MigrateLocalServerPortAnnotation","23","19","0","0.0","0","145125","0.99","36416"
"org.openrewrite.java.spring.boot3.MigrateDropWizardDependencies","23","19","0","0.0","0","1543","0.99","333"
"org.openrewrite.java.testing.junit5.JUnitParamsRunnerToParameterized","23","19","0","0.0","0","79165","0.99","41625"
"org.openrewrite.java.migrate.javax.MigrateXMLEventFactoryNewInstanceToNewFactory","23","19","0","0.0","0","582","0.99","166"
"org.openrewrite.java.migrate.jakarta.JavaxTransactionMigrationToJakartaTransaction","23","19","0","0.0","0","792","0.99","125"
"org.openrewrite.java.migrate.lombok.LombokValToFinalVar","23","19","0","0.0","0","515044","0.99","74625"
"org.openrewrite.reactive.reactor.ReactorProcessorCreateToSinkRecipes$EmitterProcessorCreateBooleanToSinkRecipe","23","19","0","0.0","0","270705","0.99","50166"
"org.openrewrite.yaml.ChangeKey","23","19","0","0.0","0","25682747","0.99","25674334"
